ID,START,STOP,MODE OF TRANSPORT,TIME,PRICE (HKD)
1,Hung Hom,Mong Kok East,MTR (East Rail Line),5 mins,5.50
2,Hung Hom,Mong Kok,Bus (203E),20 mins,6.80
3,Hung Hom,Mong Kok,Minibus (6),18 mins,8.00
4,Mong Kok East,Kowloon Tong,MTR (East Rail Line),5 mins,5.00
5,Kowloon Tong,Sha Tin,MTR (East Rail Line),12 mins,8.00
6,Sha Tin,Kowloon Tong,Bus (81C),30 mins,7.80
7,Sha Tin,Kowloon Tong,Minibus (81K),35 mins,9.00
8,Sha Tin,Fo Tan,MTR (East Rail Line),4 mins,5.00
9,Fo Tan,University,MTR (East Rail Line),6 mins,5.50
10,University,Tai Po Market,MTR (East Rail Line),7 mins,6.00
11,Tai Po Market,Fanling,MTR (East Rail Line),10 mins,7.50
12,Fanling,Sheung Shui,MTR (East Rail Line),4 mins,5.00
13,Sheung Shui,Lo Wu,MTR (East Rail Line),8 mins,19.00
14,Diamond Hill,Tseung Kwan O,MTR (Tseung Kwan O Line),14 mins,9.50
15,Diamond Hill,Tseung Kwan O,Bus (91M),25 mins,8.60
16,Diamond Hill,Tseung Kwan O,Minibus (96M),30 mins,10.50
17,Tseung Kwan O,Hang Hau,Bus (91M),12 mins,6.30
18,Hang Hau,Sai Kung,Bus (92),25 mins,9.40
19,Sai Kung,Choi Hung,Bus (92),40 mins,9.40
20,Choi Hung,Diamond Hill,MTR (Kwun Tong Line),2 mins,4.00
21,Admiralty,Ocean Park,MTR (South Island Line),9 mins,7.50
22,Ocean Park,Wong Chuk Hang,MTR (South Island Line),3 mins,5.00
23,Wong Chuk Hang,Lei Tung,MTR (South Island Line),3 mins,5.00
24,Lei Tung,South Horizons,MTR (South Island Line),2 mins,4.50
25,Central (Pier 5),Cheung Chau,Ferry (Ordinary),55 mins,19.40
26,Central (Pier 5),Cheung Chau,Ferry (Fast),35 mins,36.20
27,Central (Pier 6),Peng Chau,Ferry,55 mins,17.80
28,Central (Pier 4),Mui Wo,Ferry,55 mins,19.40
29,Hong Kong Airport,Hong Kong Station,Airport Express,24 mins,115.00
30,Hong Kong Airport,Tsim Sha Tsui,Bus (A21),45 mins,33.00
31,Hong Kong Airport,Causeway Bay,Bus (A11),65 mins,40.00
32,Tung Chung,Hong Kong Station,MTR (Tung Chung Line),24 mins,23.50
33,Tsing Yi,Kwai Fong,MTR (Tsuen Wan Line),4 mins,4.50
34,Hung Hom,Central,Ferry,20 mins,9.80
35,Hung Hom,Central,Bus (930 Cross-Harbour),30 mins,10.10
